Depth_cm,Height_cm,Width_cm,Volume_cm3,Date,Executor_capacity_cm3,LocationID
21.3,4.1,13.7,1196.421,25/08/2022,3313071,26578
25.4,7.6,17.8,3436.112,19/08/2022,3313071,26196
36.8,17.8,20.3,13297.312,19/08/2022,3313071,26876
41.1,2,25.9,2128.98,19/08/2022,3313071,26798
40.6,12.7,30.5,15726.41,25/08/2022,3313071,26798
36.8,17.8,20.3,13297.312,25/08/2022,3313071,26798
31.8,1.3,29.2,1207.128,19/08/2022,3313071,26494
25.4,12.7,17.8,5741.924,19/08/2022,3313071,26494
25.4,7.6,17.8,3436.112,19/08/2022,3313071,26494
31,2,28.5,1767,19/08/2022,3313071,26494
34.3,11.4,20.3,7937.706,19/08/2022,3313071,26494
25.4,7.6,17.8,3436.112,19/08/2022,3313071,26574
27.3,5.7,24.8,3859.128,19/08/2022,3313071,26271
27.4,5.6,24.9,3820.656,17/08/2022,3313071,26271
31.7,1.3,29.2,1203.332,19/08/2022,3313071,26488
25.4,12.7,17.8,5741.924,16/08/2022,3313071,26488
31.5,1.5,29,1370.25,19/08/2022,3313071,26725
43.2,27.9,30.5,36761.04,19/08/2022,3313071,26869
25.4,12.7,17.8,5741.924,19/08/2022,3313071,26869
25.4,12.7,17.8,5741.924,19/08/2022,3313071,26869
23.4,2,15.7,734.76,19/08/2022,3313071,26343
24.6,8.4,22.1,4566.744,19/08/2022,3313071,26343
25.4,7.6,17.8,3436.112,19/08/2022,3313071,26728
25.4,7.6,17.8,3436.112,19/08/2022,3313071,26728
31.2,1.8,28.7,1611.792,22/08/2022,3313071,26728
11.2,1.3,9.4,136.864,22/08/2022,3313071,26728
45.7,21.6,22.9,22605.048,22/08/2022,3313071,26728
48.3,27.9,31.8,42852.726,22/08/2022,3313071,26728
43.2,7.6,27.9,9160.128,19/08/2022,3313071,25546
26.8,6.2,24.3,4037.688,19/08/2022,3313071,26594
23.9,1.5,16.3,584.355,19/08/2022,3313071,26594
21.3,4.1,13.7,1196.421,19/08/2022,3313071,26035
43.2,7.6,27.9,9160.128,19/08/2022,3313071,26625
22.6,2.8,15,949.2,19/08/2022,3313071,26847
31.8,1.3,29.2,1207.128,19/08/2022,3313071,26847
25.4,12.7,17.8,5741.924,19/08/2022,3313071,26847
20.3,5.1,12.7,1314.831,19/08/2022,3313071,26847
44.5,20.3,35.6,32159.26,19/08/2022,3313071,26622
30.2,5.3,17.5,2801.05,19/08/2022,3313071,26818
43.2,7.6,27.9,9160.128,19/08/2022,3313071,26818
34.3,11.4,26.7,10440.234,19/08/2022,3313071,26818
25.4,7.6,22.9,4420.616,19/08/2022,3313071,26818
49.5,7.6,35.6,13392.72,19/08/2022,3313071,26818
54.6,25.4,43.2,59911.488,19/08/2022,3313071,26436
27.9,5.1,25.4,3614.166,19/08/2022,3313071,26436
22.9,2.5,15.2,870.2,19/08/2022,3313071,26758
26.4,14.5,17.5,6699,17/08/2022,3313071,26758
34.3,11.4,26.7,10440.234,25/08/2022,3313071,26758
39.4,7.6,31.8,9522.192,25/08/2022,3313071,26758
36.8,17.8,20.3,13297.312,16/08/2022,3313071,26758
22.4,3,14.7,987.84,19/08/2022,3313071,25716
29.7,3.3,27.2,2665.872,17/08/2022,3313071,25716
25.8,7.2,23.3,4328.208,17/08/2022,3313071,25716
30.5,10.2,19.1,5942.01,17/08/2022,3313071,25716
40.6,12.7,30.5,15726.41,19/08/2022,3313071,25974
25.4,7.6,17.8,3436.112,19/08/2022,3313071,25974
39.4,7.6,31.8,9522.192,19/08/2022,3313071,26762
25.4,12.7,17.8,5741.924,19/08/2022,3313071,26376
25.4,7.6,17.8,3436.112,22/08/2022,3313071,26376
40.6,12.7,30.5,15726.41,19/08/2022,3313071,26690
32,1,29.5,944,25/08/2022,3313071,26690
43.2,7.6,27.9,9160.128,19/08/2022,3313071,26753
31.3,1.7,28.8,1532.448,19/08/2022,3313071,26630
40.6,12.7,30.5,15726.41,19/08/2022,3313071,26630
24.6,8.4,22.1,4566.744,19/08/2022,3313071,26520
30.5,2.5,27.9,2127.375,19/08/2022,3313071,26479
34.3,11.4,26.7,10440.234,19/08/2022,3313071,26479
33.5,9.7,18.3,5946.585,19/08/2022,3313071,26292
54.6,25.4,43.2,59911.488,19/08/2022,3313071,26812
36.8,17.8,20.3,13297.312,19/08/2022,3313071,26812
25.4,12.7,17.8,5741.924,19/08/2022,3313071,26812
27.7,5.3,25.1,3684.931,25/08/2022,3313071,23093
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23093
48.3,27.9,31.8,42852.726,25/08/2022,3313071,23314
66,17.8,40.6,47696.88,25/08/2022,3313071,23314
23.5,14,15.9,5231.1,25/08/2022,3313071,23780
48.3,15.2,33,24227.28,25/08/2022,3313071,23780
25.9,7.1,23.4,4303.026,25/08/2022,3313071,23780
66,17.8,40.6,47696.88,25/08/2022,3313071,23780
30,5.6,17.3,2906.4,25/08/2022,3313071,23780
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23804
30.2,2.8,27.7,2342.312,25/08/2022,3313071,23769
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23650
48.3,30.5,36.8,54211.92,25/08/2022,3313071,23650
33,20.3,26.7,17886.33,25/08/2022,3313071,23057
31.8,1.2,29.3,1118.088,08/08/2022,3313071,23057
28.9,4.1,26.4,3128.136,08/08/2022,3313071,23057
34.3,11.4,26.7,10440.234,25/08/2022,3313071,23516
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23516
48.3,15.2,33,24227.28,25/08/2022,3313071,23516
49.5,7.6,35.6,13392.72,25/08/2022,3313071,22428
29.3,3.7,26.8,2905.388,25/08/2022,3313071,22321
27.2,5.8,24.6,3880.896,25/08/2022,3313071,22528
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23064
32.8,0.3,30.2,297.168,25/08/2022,3313071,23064
34.3,7.6,24.1,6282.388,15/08/2022,3313071,23064
43.2,7.6,27.9,9160.128,08/08/2022,3313071,23064
25.4,7.6,17.8,3436.112,25/08/2022,3313071,22834
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23717
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23717
35.6,22.9,31.8,25924.632,25/08/2022,3313071,23717
48.3,27.9,31.8,42852.726,25/08/2022,3313071,23717
48.3,27.9,31.8,42852.726,25/08/2022,3313071,22713
54,12.4,41.3,27654.48,25/08/2022,3313071,22511
53.3,15.2,38.1,30867.096,25/08/2022,3313071,22511
36.8,17.8,20.3,13297.312,15/08/2022,3313071,22511
34.3,11.4,26.7,10440.234,08/08/2022,3313071,22511
39.4,7.6,31.8,9522.192,25/08/2022,3313071,22719
48.3,15.2,33,24227.28,25/08/2022,3313071,23543
33.5,9.7,18.3,5946.585,25/08/2022,3313071,23044
32.4,0.6,29.8,579.312,25/08/2022,3313071,23044
48.3,15.2,33,24227.28,25/08/2022,3313071,23420
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23876
40.6,12.7,30.5,15726.41,25/08/2022,3313071,22814
40.6,12.7,30.5,15726.41,15/08/2022,3313071,22814
30.9,2.1,28.4,1842.876,15/08/2022,3313071,22814
26.2,6.9,23.6,4266.408,25/08/2022,3313071,23693
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23693
24.1,2,16.5,795.3,25/08/2022,3313071,23693
30,3,27.4,2466,25/08/2022,3313071,23693
44.5,20.3,35.6,32159.26,25/08/2022,3313071,23693
21.8,3.6,14.2,1114.416,25/08/2022,3313071,23359
24.9,8.1,22.4,4517.856,08/08/2022,3313071,23359
19.6,2.9,13.5,767.34,25/08/2022,3313071,21808
29,6.6,16.3,3119.82,25/08/2022,3313071,21808
25.6,7.4,23.1,4376.064,25/08/2022,3313071,21808
45.7,23.8,38.6,41983.676,25/08/2022,3313071,21808
39.1,17,38.6,25657.42,08/08/2022,3313071,21808
39.4,3.8,24.1,3608.252,25/08/2022,3313071,23712
34.3,11.4,26.7,10440.234,15/08/2022,3313071,23712
26.7,6.3,24.1,4053.861,25/08/2022,3313071,21563
24.1,3.8,16.5,1511.07,25/08/2022,3313071,21563
30.5,2.5,27.9,2127.375,25/08/2022,3313071,23738
30,3,27.5,2475,25/08/2022,3313071,23738
34.3,11.4,26.7,10440.234,25/08/2022,3313071,23487
64,23.1,45.2,66823.68,25/08/2022,3313071,22183
54,12.4,41.3,27654.48,25/08/2022,3313071,22183
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23622
27.2,5.8,24.6,3880.896,25/08/2022,3313071,23622
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23622
39.4,7.6,31.8,9522.192,25/08/2022,3313071,23622
39.4,7.6,31.8,9522.192,25/08/2022,3313071,23622
24.6,0.8,17,334.56,25/08/2022,3313071,23403
41.3,1.9,26,2040.22,25/08/2022,3313071,23356
49.5,7.6,35.6,13392.72,25/08/2022,3313071,23356
43.2,7.6,27.9,9160.128,25/08/2022,3313071,23356
30,5.6,17.3,2906.4,25/08/2022,3313071,23356
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23356
48.3,15.2,33,24227.28,25/08/2022,3313071,23356
31.8,1.3,29.2,1207.128,25/08/2022,3313071,23356
34.3,11.4,26.7,10440.234,25/08/2022,3313071,23356
34.3,7.6,24.1,6282.388,25/08/2022,3313071,23356
31.4,1.6,28.9,1451.936,25/08/2022,3313071,23356
48.3,17.8,34.3,29489.082,25/08/2022,3313071,21380
32.4,0.6,29.8,579.312,25/08/2022,3313071,21380
34.3,7.6,24.1,6282.388,13/08/2022,3313071,21380
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23586
33,20.3,26.7,17886.33,25/08/2022,3313071,22576
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23768
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23768
24,1.4,16.4,551.04,25/08/2022,3313071,23434
25.4,7.6,17.8,3436.112,15/08/2022,3313071,23434
29.2,3.8,26.7,2962.632,25/08/2022,3313071,23357
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23357
25.4,7.6,17.8,3436.112,26/07/2022,3313071,23357
27.7,5.3,25.1,3684.931,25/08/2022,3313071,23472
30.5,10.2,19.1,5942.01,25/08/2022,3313071,23472
66,17.8,40.6,47696.88,25/08/2022,3313071,23608
26.9,6.1,24.4,4003.796,15/08/2022,3313071,23608
25.4,7.6,17.8,3436.112,25/08/2022,3313071,22626
25.4,7.6,17.8,3436.112,08/08/2022,3313071,22626
43.2,7.6,27.9,9160.128,13/08/2022,3313071,22626
26.9,6.1,24.4,4003.796,25/08/2022,3313071,23392
25.4,12.7,17.8,5741.924,25/08/2022,3313071,22390
61.6,33,41.3,83954.64,13/08/2022,3313071,22390
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23662
53.3,38.1,45.7,92804.361,25/08/2022,3313071,22102
31,2,28.5,1767,25/08/2022,3313071,23124
27.4,5.6,24.9,3820.656,25/08/2022,3313071,23439
30,1,16.8,504,26/07/2022,3313071,23439
30,1,16.8,504,26/07/2022,3313071,23439
35.6,8.9,30.5,9663.62,26/07/2022,3313071,23439
54,12.4,41.3,27654.48,15/08/2022,3313071,23439
23.6,1.8,16,679.68,25/08/2022,3313071,21381
32,1,29.5,944,25/08/2022,3313071,22810
31.7,1.4,29.1,1291.458,25/08/2022,3313071,22810
43.2,7.6,27.9,9160.128,25/08/2022,3313071,21443
36.8,17.8,20.3,13297.312,08/08/2022,3313071,21443
39.2,4,23.9,3747.52,08/08/2022,3313071,21443
34.3,7.6,24.1,6282.388,25/08/2022,3313071,21655
28.4,4.6,25.9,3383.576,25/08/2022,3313071,23425
45.7,21.6,22.9,22605.048,25/08/2022,3313071,22850
32.5,10.7,17.3,6016.075,25/08/2022,3313071,21632
30.5,2.5,27.9,2127.375,25/08/2022,3313071,23304
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23304
35.6,7.6,20.3,5492.368,25/08/2022,3313071,21522
25.4,12.7,17.8,5741.924,25/08/2022,3313071,21522
28,5,25.5,3570,25/08/2022,3313071,21522
29.6,16.2,26.6,12755.232,26/07/2022,3313071,21522
36.1,7.1,20.8,5331.248,25/08/2022,3313071,23569
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23680
31.2,4.3,26.2,3514.992,25/08/2022,3313071,23680
30.2,2.8,27.7,2342.312,25/08/2022,3313071,21306
34.3,11.4,26.7,10440.234,13/08/2022,3313071,21306
30.6,2.4,28.1,2063.664,25/08/2022,3313071,22317
34.3,7.6,24.1,6282.388,25/08/2022,3313071,22317
30.5,4.8,22.9,3352.56,25/08/2022,3313071,22317
31.6,1.4,29.1,1287.384,25/08/2022,3313071,23670
25.4,12.7,17.8,5741.924,25/08/2022,3313071,22295
25.4,12.7,17.8,5741.924,25/08/2022,3313071,22315
55.9,30.5,45.7,77916.215,25/08/2022,3313071,22262
48.3,15.2,33,24227.28,25/08/2022,3313071,22262
48.3,27.9,31.8,42852.726,26/07/2022,3313071,22262
39.5,18,37.5,26662.5,26/07/2022,3313071,22262
30.5,10.2,19.1,5942.01,25/08/2022,3313071,22988
20.9,6.4,13.5,1805.76,25/08/2022,3313071,22988
33.5,2,28.4,1902.8,25/08/2022,3313071,22988
48.3,15.2,33,24227.28,25/08/2022,3313071,22988
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23025
31.8,1.2,29.3,1118.088,13/08/2022,3313071,23025
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23810
29.5,3.6,26.9,2856.78,25/08/2022,3313071,22811
43.2,27.9,30.5,36761.04,08/08/2022,3313071,22811
40.7,2.5,25.4,2584.45,25/08/2022,3313071,23901
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23901
33,10.2,17.8,5991.48,25/08/2022,3313071,22240
25.4,12.7,17.8,5741.924,25/08/2022,3313071,21480
34.3,7.6,24.1,6282.388,25/08/2022,3313071,21633
43.2,7.6,27.9,9160.128,25/08/2022,3313071,22614
53.3,15.2,38.1,30867.096,25/08/2022,3313071,23910
49.5,7.6,35.6,13392.72,25/08/2022,3313071,23696
31.5,1.5,29,1370.25,25/08/2022,3313071,23226
48.3,15.2,33,24227.28,25/08/2022,3313071,23226
56.1,23.6,32,42366.72,25/08/2022,3313071,23226
48.3,15.2,33,24227.28,25/08/2022,3313071,23226
37.3,5.8,22.1,4781.114,25/08/2022,3313071,23380
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23642
30.5,2.5,27.9,2127.375,25/08/2022,3313071,23433
34.3,11.4,26.7,10440.234,25/08/2022,3313071,22483
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23644
49.5,7.6,35.6,13392.72,25/08/2022,3313071,23238
29.5,6.1,16.8,3023.16,25/08/2022,3313071,23766
49.5,7.6,35.6,13392.72,25/08/2022,3313071,22715
23.9,5.6,16.3,2181.592,25/08/2022,3313071,23432
14,4.3,13.7,824.74,25/08/2022,3313071,21656
27,6,24.5,3969,25/08/2022,3313071,21656
32,1,29.5,944,25/08/2022,3313071,21656
31.8,1.3,29.2,1207.128,25/08/2022,3313071,21656
31.8,1.3,29.2,1207.128,25/08/2022,3313071,21656
27.6,5.4,25.1,3740.904,26/07/2022,3313071,21656
29.7,3.3,27.2,2665.872,26/07/2022,3313071,21656
43.2,7.6,27.9,9160.128,26/07/2022,3313071,21656
34.3,7.6,24.1,6282.388,26/07/2022,3313071,21656
41.2,2,25.9,2134.16,26/07/2022,3313071,21656
27.9,5.1,25.4,3614.166,15/08/2022,3313071,21656
25.4,7.6,17.8,3436.112,15/08/2022,3313071,21656
36.8,17.8,20.3,13297.312,15/08/2022,3313071,21656
32.3,0.8,29.7,767.448,15/08/2022,3313071,21656
22.9,2.5,15.2,870.2,15/08/2022,3313071,21656
25.4,7.6,17.8,3436.112,15/08/2022,3313071,21656
25.4,12.7,17.8,5741.924,15/08/2022,3313071,21656
25.4,7.6,17.8,3436.112,15/08/2022,3313071,21656
25.4,12.7,17.8,5741.924,13/08/2022,3313071,21656
25.4,12.7,17.8,5741.924,13/08/2022,3313071,21656
25.4,7.6,17.8,3436.112,13/08/2022,3313071,21656
31,2,28.4,1760.8,13/08/2022,3313071,21656
50.5,27.2,27.4,37636.64,13/08/2022,3313071,21656
49.5,7.6,35.6,13392.72,13/08/2022,3313071,21656
29.5,6.1,16.8,3023.16,25/08/2022,3313071,21392
28,5,25.5,3570,25/08/2022,3313071,21392
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23545
31.5,1.5,29,1370.25,25/08/2022,3313071,23716
39.4,7.6,31.8,9522.192,15/08/2022,3313071,23716
48.3,30.5,36.8,54211.92,25/08/2022,3313071,23675
25.4,7.6,17.8,3436.112,25/08/2022,3313071,23675
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23675
36.8,17.8,20.3,13297.312,26/07/2022,3313071,23675
25.4,12.7,17.8,5741.924,26/07/2022,3313071,23675
34.3,7.6,24.1,6282.388,25/08/2022,3313071,23528
40.6,12.7,30.5,15726.41,25/08/2022,3313071,23464
34.3,11.4,20.3,7937.706,25/08/2022,3313071,21515
39.4,7.6,31.8,9522.192,25/08/2022,3313071,22888
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23899
25.4,7.6,17.8,3436.112,25/08/2022,3313071,21611
49.5,7.6,35.6,13392.72,25/08/2022,3313071,23372
31.6,4,18.9,2388.96,25/08/2022,3313071,23372
39.4,7.6,31.8,9522.192,25/08/2022,3313071,23757
28.7,4.3,26.2,3233.342,25/08/2022,3313071,23757
50.8,30.5,35.6,55158.64,15/08/2022,3313071,23757
25.4,12.7,17.8,5741.924,15/08/2022,3313071,23757
25.4,7.6,17.8,3436.112,15/08/2022,3313071,23757
33,12.2,23.1,9300.06,25/08/2022,3313071,23646
38.1,28.4,38.1,41225.724,25/08/2022,3313071,23646
30.5,11.2,17.3,5909.68,25/08/2022,3313071,22385
59.2,16,40.6,38456.32,25/08/2022,3313071,23761
32.5,6.3,12.2,2497.95,25/08/2022,3313071,22736
30.3,2.7,27.8,2274.318,25/08/2022,3313071,23746
48.3,15.2,33,24227.28,25/08/2022,3313071,23746
30.5,2.5,28,2135,25/08/2022,3313071,23746
27.9,5.1,25.4,3614.166,25/08/2022,3313071,23746
25.4,7.6,17.8,3436.112,25/08/2022,3313071,21415
33.3,2.5,27.9,2322.675,25/08/2022,3313071,23576
34.3,7.6,24.1,6282.388,25/08/2022,3313071,23652
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23652
26.9,2,19.5,1049.1,25/08/2022,3313071,22227
49.5,7.6,35.6,13392.72,25/08/2022,3313071,21526
25.4,7.6,17.8,3436.112,15/08/2022,3313071,21526
33,20.3,26.7,17886.33,15/08/2022,3313071,21526
43.2,27.9,30.5,36761.04,08/08/2022,3313071,21526
34.6,8.6,19.3,5742.908,25/08/2022,3313071,23587
52.7,13.3,34.6,24251.486,25/08/2022,3313071,21291
34.3,11.4,26.7,10440.234,25/08/2022,3313071,21291
31.2,1.8,28.7,1611.792,25/08/2022,3313071,21291
29.1,3.9,26.6,3018.834,25/08/2022,3313071,21291
22.6,2.8,15,949.2,26/07/2022,3313071,21291
34.3,11.4,20.3,7937.706,26/07/2022,3313071,21291
29.7,3.3,27.2,2665.872,26/07/2022,3313071,21291
31.5,1.5,29,1370.25,15/08/2022,3313071,21291
23.6,1.8,16,679.68,15/08/2022,3313071,21291
22.9,2.5,15.2,870.2,15/08/2022,3313071,21291
48.3,30.5,36.8,54211.92,15/08/2022,3313071,21291
24.4,1,16.8,409.92,15/08/2022,3313071,21291
18.5,7.1,13.7,1799.495,15/08/2022,3313071,21291
58.7,26.9,37.3,58897.819,15/08/2022,3313071,21291
34.3,11.4,26.7,10440.234,15/08/2022,3313071,21291
25.4,7.6,17.8,3436.112,15/08/2022,3313071,21291
33,20.3,26.7,17886.33,08/08/2022,3313071,21291
25.4,7.6,17.8,3436.112,08/08/2022,3313071,21291
31.9,11.3,16.6,5983.802,13/08/2022,3313071,21291
22.2,8.3,14,2579.64,13/08/2022,3313071,21291
31.2,1.8,28.7,1611.792,13/08/2022,3313071,21291
48.3,30.5,36.8,54211.92,13/08/2022,3313071,21291
25.4,7.6,17.8,3436.112,13/08/2022,3313071,21291
32.2,0.8,29.7,765.072,13/08/2022,3313071,21291
20.3,7.6,20.3,3131.884,25/08/2022,3313071,23653
30.5,10.2,19.1,5942.01,25/08/2022,3313071,23653
25.4,12.7,17.8,5741.924,25/08/2022,3313071,23653
30.4,2.6,27.9,2205.216,25/08/2022,3313071,23606
23.1,2.3,15.5,823.515,08/08/2022,3313071,23606
25.4,7.6,17.8,3436.112,08/08/2022,3313071,23606
32,1,29.5,944,25/08/2022,3313071,21699
33.4,28.2,31.2,29386.656,25/08/2022,3313071,21699
40.6,12.7,30.5,15726.41,26/07/2022,3313071,21699
36.8,17.8,20.3,13297.312,25/08/2022,3313071,23663
22.4,3,14.7,987.84,25/08/2022,3313071,23785
29.7,5.8,17,2928.42,08/08/2022,3313071,23785
34.3,11.4,26.7,10440.234,25/08/2022,3313071,23442
49.5,7.6,35.6,13392.72,25/08/2022,3313071,23442
28.8,4.2,26.3,3181.248,25/08/2022,3313071,23442
34.3,11.4,26.7,10440.234,25/08/2022,3313071,22174
30.7,4.8,18,2652.48,25/08/2022,3313071,21694
21.3,4.1,13.7,1196.421,25/08/2022,3313071,23305
31.2,1.8,28.7,1611.792,25/08/2022,3313071,23305
29.7,3.3,27.2,2665.872,25/08/2022,3313071,22359
25.4,7.6,17.8,3436.112,25/08/2022,3313071,22346
25.4,7.6,17.8,3436.112,25/08/2022,3313071,22346
25.4,12.7,17.8,5741.924,25/08/2022,3313071,22346
25.4,7.6,17.8,3436.112,25/08/2022,3313071,22346
25.4,7.6,17.8,3436.112,25/08/2022,3313071,22346
39.4,7.6,31.8,9522.192,25/08/2022,3313071,22346
29.5,6.1,16.8,3023.16,25/08/2022,3313071,22346
44.5,20.3,35.6,32159.26,25/08/2022,3313071,22346
25.4,7.6,17.8,3436.112,25/08/2022,3313071,22346
25.4,7.6,17.8,3436.112,25/08/2022,3313071,22346
25.4,7.6,17.8,3436.112,25/08/2022,3313071,22346
55.9,30.5,45.7,77916.215,15/08/2022,3313071,22346
58.4,23.4,33,45096.48,15/08/2022,3313071,22346
25.4,7.6,17.8,3436.112,15/08/2022,3313071,22346
38.9,4.3,23.6,3947.572,15/08/2022,3313071,22346
29,4.1,26.4,3138.96,25/08/2022,3313071,21364
29.9,3.1,27.4,2539.706,25/08/2022,3313071,21364
34.3,11.4,26.7,10440.234,08/08/2022,3313071,21364
25.4,7.6,17.8,3436.112,08/08/2022,3313071,21364
39.4,7.6,31.8,9522.192,08/08/2022,3313071,21364
28.2,10.4,18.6,5455.008,13/08/2022,3313071,21364
31.2,1.8,28.7,1611.792,25/08/2022,3313071,22825
40.6,12.7,30.5,15726.41,25/08/2022,3313071,22825
25.4,7.6,17.8,3436.112,25/08/2022,3313071,21494
25.4,12.7,17.8,5741.924,25/08/2022,3313071,22877
29.5,6.1,16.8,3023.16,08/08/2022,3313071,22877
24.4,1,16.8,409.92,25/08/2022,3313071,22745
33.4,9.8,18.1,5924.492,25/08/2022,3313071,21604
32,11.2,16.8,6021.12,13/08/2022,3313071,21604
26.7,7.6,19,3855.48,13/08/2022,3313071,21604
40.6,12.7,30.5,15726.41,13/08/2022,3313071,21604
49.5,7.6,35.6,13392.72,13/08/2022,3313071,21604
32.3,10.9,17,5985.19,25/08/2022,3313071,23181
25.1,0.3,17.5,131.775,25/08/2022,3313071,21609
30.7,2.3,28.2,1991.202,25/08/2022,3313071,23704
25.4,12.7,17.8,5741.924,26/07/2022,3313071,23704
55.9,30.5,45.7,77916.215,08/08/2022,3313071,23704
25.4,12.7,17.8,5741.924,08/08/2022,3313071,23704
31.1,1.9,28.6,1689.974,25/08/2022,3313071,23837
34.3,11.4,26.7,10440.234,25/08/2022,3313071,21175
25.4,12.7,17.8,5741.924,25/08/2022,3313071,21175
29.2,3.8,26.7,2962.632,25/08/2022,3313071,21175
40.6,12.7,30.5,15726.41,25/08/2022,3313071,23347
49.5,7.6,35.6,13392.72,25/08/2022,3313071,23860
31.6,1.4,29.1,1287.384,25/08/2022,3313071,21456
34.3,1.3,21.6,963.144,25/08/2022,3313071,21456
25.4,7.6,17.8,3436.112,25/08/2022,3313071,21456
36.8,17.8,20.3,13297.312,25/08/2022,3313071,21456
24.1,3.8,16.5,1511.07,25/08/2022,3313071,23274
48.3,15.2,33,24227.28,25/08/2022,3313071,22338
39.4,7.6,31.8,9522.192,25/08/2022,3313071,22338
31.2,4.3,18.5,2481.96,25/08/2022,3313071,22338
24.6,0.8,17,334.56,08/08/2022,3313071,22338
34.3,11.4,26.7,10440.234,25/08/2022,3313071,21615
32.3,0.8,29.7,767.448,25/08/2022,3313071,23522
31.7,1.3,29.2,1203.332,25/08/2022,3313071,22201
34,1.5,21.3,1086.3,25/08/2022,3313071,22201
23.6,1.8,16,679.68,25/08/2022,3313071,22201
33,20.3,26.7,17886.33,13/08/2022,3313071,22201
49.5,7.6,35.6,13392.72,12/08/2022,4247527,12124
34.3,11.4,26.7,10440.234,15/08/2022,4247527,12124
25.4,7.6,17.8,3436.112,15/08/2022,4247527,12124
66,17.8,40.6,47696.88,25/07/2022,4247527,12124
29,4.1,26.4,3138.96,25/07/2022,4247527,12124
33.4,9.8,18.1,5924.492,12/08/2022,4247527,10337
36.8,17.8,20.3,13297.312,12/08/2022,4247527,10337
33,20.3,26.7,17886.33,12/08/2022,4247527,10737
43.2,7.6,27.9,9160.128,12/08/2022,4247527,11304
29.7,3.3,27.2,2665.872,12/08/2022,4247527,12606
40.7,2.5,25.4,2584.45,15/08/2022,4247527,12606
44.5,20.3,35.6,32159.26,22/08/2022,4247527,12606
34.3,7.6,24.1,6282.388,12/08/2022,4247527,10453
25.4,7.6,22.9,4420.616,12/08/2022,4247527,10405
25.4,7.6,17.8,3436.112,12/08/2022,4247527,10405
32.5,4.5,25.5,3729.375,12/08/2022,4247527,10405
29.7,3.3,27.2,2665.872,12/08/2022,4247527,10071
44.5,20.3,35.6,32159.26,15/08/2022,4247527,10071
25.4,7.6,17.8,3436.112,12/08/2022,4247527,11081
36.3,6.9,21.1,5284.917,12/08/2022,4247527,10751
28.2,4.8,25.7,3478.752,12/08/2022,4247527,10042
30.7,2.3,28.2,1991.202,12/08/2022,4247527,13048
32.3,17.5,24.1,13622.525,12/08/2022,4247527,10935
49.5,7.6,35.6,13392.72,29/07/2022,3313071,10935
53.3,38.1,45.7,92804.361,29/07/2022,3313071,10935
45.7,21.6,22.9,22605.048,12/08/2022,4247527,10212
66,17.8,40.6,47696.88,12/08/2022,4247527,10212
27.9,5.1,25.4,3614.166,12/08/2022,4247527,10212
25.4,12.7,17.8,5741.924,12/08/2022,4247527,10212
40.6,12.7,30.5,15726.41,15/08/2022,4247527,10212
31.2,1.8,28.7,1611.792,12/08/2022,4247527,10917
43.2,7.6,27.9,9160.128,12/08/2022,4247527,13110
27.4,5.6,24.9,3820.656,15/08/2022,4247527,13110
40.6,30.5,37.3,46188.59,12/08/2022,4247527,10676
34.3,7.6,24.1,6282.388,12/08/2022,4247527,10676
24.1,3.3,16.5,1312.245,12/08/2022,4247527,9699
35.6,22.9,31.8,25924.632,12/08/2022,4247527,9838
30.5,2.5,27.9,2127.375,12/08/2022,4247527,11031
30.5,2.5,28,2135,12/08/2022,4247527,11083
29.2,3.8,26.7,2962.632,12/08/2022,4247527,11083
27.3,5.7,24.8,3859.128,12/08/2022,4247527,10765
39.4,7.6,31.8,9522.192,12/08/2022,4247527,10765
40.6,2.6,25.3,2670.668,12/08/2022,4247527,10765
23.6,1.8,16,679.68,12/08/2022,4247527,10765
29.7,3.3,27.2,2665.872,12/08/2022,4247527,10765
38.1,25.4,25.4,24580.596,15/08/2022,4247527,10765
